mouse,age_group,probe_accuracy,density
mcr37,Young Adult,83.33333333333334,0.0029565133211935145
mcr38,Young Adult,84.61538461538461,0.0019051852196530776
mcr39,Young Adult,100.0,7.979001511104755e-05
mcr40,Young Adult,25.0,0.002282830581651114
mcr42,Young Adult,60.0,0.0015577481511646761
mcr43,Young Adult,55.55555555555556,0.0009172731718529331
mcr44,Young Adult,85.71428571428571,0.0024431655073608306
mcr45,Young Adult,100.0,0.00019480125146303397
mcr46,Young Adult,53.84615384615385,0.0036916455756331873
mcr47,Young Adult,64.70588235294117,0.0025739187360538404
mcr48,Middle Aged,57.14285714285714,0.0021432914989107116
mcr49,Middle Aged,66.66666666666666,0.0018064970541425383
mcr50,Middle Aged,50.0,0.0017915735198188866
mcr51,Middle Aged,33.33333333333333,0.0015135540132657672
mcr52,Middle Aged,50.0,0.001667237432437761
mcr53,Middle Aged,63.63636363636363,0.0011388936104191625
mcr54,Middle Aged,50.0,0.0018631783571122008
mcr55,Middle Aged,37.5,0.0019845679056901626
mcr56,Middle Aged,100.0,0.0012308803463277843
mcr57,Middle Aged,63.63636363636363,0.0011187038780310844
mcr58,Middle Aged,85.71428571428571,0.0015119498441553212
mcr59,Middle Aged,90.9090909090909,0.0014808505598457578
